,id,landmark_id,Landmark
0,0af7c889a0adb459,29568,Allegheny Cemetery Pittsburgh
1,1b899ce36aed7d0b,47616,Fairmount Water Works
2,4ccecfade7dd6506,10293,Eldorado National Forest
3,576a734d9c97c07b,70087,Horseshoe Falls
4,27d5ac4b88875c7c,12687,Mount Rainier
5,b7a3ded2d97a46f5,12687,Mount Rainier
6,a645c9e3d37ccb06,15411,Carnaval de Paris
7,694b7c0f8fbb5169,15411,Carnaval de Paris
8,f5bd94774d6509a2,47616,Fairmount Water Works
9,8ca78ac79f14c515,47616,Fairmount Water Works
10,9bc1d25ff3afa8af,43412,Golden Gate Bridge
11,7a96b04fb44539c0,28791,Fort Benning
12,938288d8910389e8,70087,Horseshoe Falls
13,8d9ebf1e1c05cb42,39351,The Rotunda
14,db4849d536ba7b25,12687,Mount Rainier
15,bdd34e8076844e2f,28791,Fort Benning
16,ba2604dca679e737,15411,Carnaval de Paris
17,535e393a96c4ff8c,47616,Fairmount Water Works
18,d6ac42807214885f,28791,Fort Benning
19,81b91590380199e4,15411,Carnaval de Paris
20,14eb43d406fbefbf,39351,The Rotunda
21,72e45c27225f3101,3831,Oval Office
22,466a33c29924f2a3,28791,Fort Benning
23,80c0cac1742bb54c,15411,Carnaval de Paris
24,9150f1e1d7a22bd1,15411,Carnaval de Paris
25,e850e439e45adb84,15411,Carnaval de Paris
26,6180b3f33195d353,38652,Lincoln Financial Field
27,6744740b684b8af5,70087,Horseshoe Falls
28,07716eea5b61ef65,55964,Mi Yin Temple
29,041e0a99a1123e0a,10293,Eldorado National Forest
30,3ccfd45e321f6b26,64537,Monticello
31,8289434f69ee9aa8,72649,Table Mountain
32,625d576a4f8c7665,15411,Carnaval de Paris
33,8c0ccde08af02dfd,15411,Carnaval de Paris
34,adb68f766446b53b,28791,Fort Benning
35,d20ba5278ccaf399,12687,Mount Rainier
36,821ff68870c2eb28,29568,Allegheny Cemetery Pittsburgh
37,de7f5899d72c944e,65436,"Downtown Washington, D.C."
38,77ceb0b0c6292c21,15411,Carnaval de Paris
39,a88a29824b25f7da,28791,Fort Benning
40,e916d01762c3cc22,15411,Carnaval de Paris
41,19303313d521f130,80307,Washington Monument
42,635e8b348d6ddacc,58504,Himeji Castle
43,4b58abde47ba89e8,43412,Golden Gate Bridge
44,a14f901639566bf6,30675,Stonehenge
45,ad5dcf541396f288,55964,Mi Yin Temple
46,8f81f73b2c32af25,28791,Fort Benning
47,30b1874b31b8550b,22377,USS New Jersey
48,52a03932c56a0317,85053,Bartram's Garden
49,ca2f9ff0de414602,3831,Oval Office
50,bcb0929f55a7ba4b,28791,Fort Benning
51,6a71579d6abb634e,15411,Carnaval de Paris
52,36a7d625a302a76f,47616,Fairmount Water Works
53,63947d3099824154,15411,Carnaval de Paris
54,59572f6e1816042e,15411,Carnaval de Paris
55,146864819aa55dd4,15411,Carnaval de Paris
56,1942ea4c4a80498a,15411,Carnaval de Paris
57,91a043fab2fad8c5,3831,Oval Office
58,c8e9d0d68376bc92,47616,Fairmount Water Works
59,073ac6423aca9976,15411,Carnaval de Paris
60,509e09d004457df9,70087,Horseshoe Falls
61,e01e64a07dfb93a4,28791,Fort Benning
62,ed281f0348317224,80307,Washington Monument
63,29e8bf2f0ee73a9d,3831,Oval Office
64,d30125494ef1feef,3831,Oval Office
65,c104940897251bd6,40333,Eiffel Tower
66,05d9e28263f03fff,28791,Fort Benning
67,bb88eed64ced17a7,80307,Washington Monument
68,bfb9a72e23e2df39,48268,Cristo Redentor
69,07c1758d21982f25,43412,Golden Gate Bridge
70,6963873df3101826,28791,Fort Benning
71,84be343f03a42046,3831,Oval Office
72,5461db5334d8c11a,22377,USS New Jersey
73,314762d9396d75f5,28791,Fort Benning
74,d3bbb1586c22ad44,15411,Carnaval de Paris
75,6195af7972231da2,15411,Carnaval de Paris
76,d4bdc4a87285e541,28791,Fort Benning
77,3ae21a0e54c84dce,15411,Carnaval de Paris
78,d6c897ff58e89396,28791,Fort Benning
79,9f6ccd0d89d53542,44418,Grand Canyon
80,d048c1905222e1c1,15411,Carnaval de Paris
81,9d07e7ff88566969,12687,Mount Rainier
82,31ea56972a309dd5,15411,Carnaval de Paris
83,4a4f39362ac24852,15411,Carnaval de Paris
84,25e1cba6647613eb,22377,USS New Jersey
85,daa62c5f1b850df0,3831,Oval Office
86,804a3b8b09503096,28791,Fort Benning
87,68be394e8d8cf279,15411,Carnaval de Paris
88,4f82f72b225e057a,15411,Carnaval de Paris
89,9329293f3cf9718d,70087,Horseshoe Falls
90,adc817785a14c1b3,55964,Mi Yin Temple
91,2adbd24157c98406,30675,Stonehenge
92,f4a8310dbffbc3d7,15411,Carnaval de Paris
93,e382409b5421bcbe,15411,Carnaval de Paris
94,f9791483b9caa149,80307,Washington Monument
95,82526f126424a562,44418,Grand Canyon
96,e5abc87b7c7cd869,15411,Carnaval de Paris
97,ddb0af2fbc816d82,28791,Fort Benning
