ID,Landmark
40333,Eiffel Tower
43757,Great Pyramid of Giza
43267,Brandenburg Gate
57570,Lion Island (New South Wales)
30675,Stonehenge
24996,Temple of Zeus in Olypmia
73248,Temple of Artemis
83439,Great Wall of China at Mutianyu
13542,Hagia Sophia
58504,Himeji Castle
85575,"Olympiapark, Munich"
48268,Cristo Redentor
10924,Machu Picchu
43412,Golden Gate Bridge
77972,Petra (Jordan)
44418,Grand Canyon
14790,Times Square
83923,Taj Mahal
80307,Washington Monument
82091,Loch Ness
39351,The Rotunda
38652,Lincoln Financial Field
34274,The London Eye
71671,The Parthenon
64537,Monticello
91294,Montpelier
33271,Rano Raraku Volcano
72649,Table Mountain
85433,Hiroshima Peace Memorial Park
77887,Victoria Falls Bridge
31913,Sierra Negra (Galapagos)
65436,"Downtown Washington, D.C."
108502,Space Needle
