,count,landmark_id,landmark_name
0,8695,78775,Marine_Corps_Base_Camp_Pendleton
1,3779,93036,Naval_Station_Guantanamo_Bay
2,3705,4782,Bayerische_Staatsgem%C3%A4ldesammlungen
3,2986,91437,"Fort_Hood,_Texas"
4,2696,97365,Fernald_Feed_Materials_Production_Center
5,2203,37830,"National_Portrait_Gallery,_London"
6,1835,46700,Media_contributed_by_the_ETH-Bibliothek
7,1703,86046,Naval_Station_Norfolk
8,1690,32658,Str%C3%A4ngn%C3%A4s_domkyrka
9,1657,81508,Fort_Irwin_Military_Reservation
10,1265,72932,Finnish_National_Gallery
11,1236,28791,Fort_Benning
12,1126,3400,Fort_Leonard_Wood
13,1073,15411,Carnaval_de_Paris
14,1021,22327,Manhattan_Project_National_Historical_Park
15,980,24578,Images_from_Bridgemanart_Library
16,937,24448,Lunds_domkyrka
17,932,38933,Skara_domkyrka
18,923,76206,Marine_Corps_Air_Station_Yuma
19,911,73739,State_Library_and_Archives_of_Florida
20,871,7977,Manama
21,868,41374,Port_of_Amsterdam
22,864,90940,"Storkyrkan,_Stockholm"
23,802,62244,Deutsches_Freimaurermuseum
24,641,69452,Shenandoah_National_Park
25,603,36227,"National_Archives_Building,_Washington,_D.C."
26,602,36835,Camp_Shelby
27,583,1065,Onslow_Beach
28,579,96750,V%C3%A4ster%C3%A5s_domkyrka
29,576,49883,Glanshammars_kyrka
30,574,100629,Fort_Meade
31,563,46554,Mount_Hood_National_Forest
32,543,67494,Sierra_Madrona
33,541,93103,Tule_Lake_War_Relocation_Center
34,520,79390,Marine_Corps_Recruit_Depot_Parris_Island
35,512,26620,Biblioteca_Brasiliana_Guita_e_Jos%C3%A9_Mindlin
36,493,77405,Minalungao_National_Park
37,475,27207,Paleis_voor_Volksvlijt
38,458,2231,Granada_War_Relocation_Center
39,453,47346,Pohakuloa_Training_Area
40,448,88369,Caserma_Ederle
41,446,33958,"Sankt_Petri_kyrka,_Malm%C3%B6"
42,445,43138,Camp_Foster
43,434,15690,Mus%C3%A9e_Maurice_Dufresne
44,431,80840,T%C3%A4by_kyrka
45,429,50174,Rogue_River_(Oregon)
46,425,46785,Nationaal_Monument_(Amsterdam)
47,424,87845,Smithsonian_Institution_Archives
48,424,12978,Naval_Station_Great_Lakes
49,423,65382,"Mariakyrkan,_Sigtuna"
50,419,84842,Air_Station_Kodiak
51,418,66405,"Sankt_Nicolai_kyrka,_%C3%96rebro"
52,408,27007,V%C3%A4sterl%C3%B6vsta_kyrka
53,406,18375,Polo_Grounds
54,405,30325,V%C3%A4rmd%C3%B6_kyrka
55,403,1466,Shrine_of_Saint_Andrew_Kim
56,389,34634,Yosemite_National_Park
57,388,74013,Olympic_National_Forest
58,387,37720,Brahekyrkan
59,375,23619,Vaksala_kyrka
60,375,68136,H%C3%A4rnevi_kyrka
61,374,14584,Poston_War_Relocation_Center
62,373,1787,Naval_Amphibious_Base_Little_Creek
63,373,29044,H%C3%A4rkeberga_kyrka
64,372,37244,Museum_Terug_in_de_Tijd
65,361,58586,California
66,360,82817,Deschutes_National_Forest
67,359,95692,Visby_domkyrka
68,351,75770,Sankt_Jacobs_kyrka
69,350,47522,Willamette_National_Forest
70,350,65762,Vondelpark
